GameID,Season,Week,Home Team,Away Team,Listed Win,Other Win,Listed Score,Other Score,Conference Game,Division Game,Neutral Site,PreSeason,Conference Champ,Bowl Game,Playoff,National Champ,Listed Coach,Other Coach,TimeSlot,Stadium,City,State,GameTitle,Info
26,2023,2,ATL,WAS,0,0,0,0,0,0,0,1,0,0,0,0,mahrowkeen,Ewade,,Mercedes-Benz Stadium,Atlanta,GA,,
27,2023,2,IND,CAR,0,0,0,0,0,0,0,1,0,0,0,0,npklemm,Sarge,,Lucas Oil Stadium,Indianapolis,IN,,
28,2023,2,SF,CIN,0,0,0,0,0,0,0,1,0,0,0,0,Dr_Novella,Ezaco,,Levi's Stadium,Santa Clara,CA,,
29,2023,2,NYG,LAR,0,0,0,0,0,0,0,1,0,0,0,0,AI,Vivid,,MetLife Stadium,East Rutherford,NJ,,
30,2023,2,ARI,DEN,0,0,0,0,0,0,0,1,0,0,0,0,AI,AI,,State Farm Stadium,Glendale,AZ,,
31,2023,2,NYJ,HOU,0,0,0,0,0,0,0,1,0,0,0,0,Coach123,AI,,MetLife Stadium,East Rutherford,NJ,,
32,2023,2,TB,NE,0,0,0,0,0,0,0,1,0,0,0,0,AI,believer,,Raymond James Stadium,Tampa,FL,,
33,2023,3,PIT,TEN,0,0,0,0,0,0,0,1,0,0,0,0,smackemz3,kwheeler,,Heinz Field,Pittsburgh,PA,,
34,2023,3,SEA,LV,0,0,0,0,0,0,0,1,0,0,0,0,TuscanSota,cultur3,,Lumen Field,Seattle,WA,,
35,2023,3,GB,BAL,0,0,0,0,0,0,0,1,0,0,0,0,Suffocation,SyndaKyt,,Lambeau Field,Green Bay,WI,,
36,2023,3,CIN,KC,0,0,0,0,0,0,0,1,0,0,0,0,Ezaco,jw1952tx,,Paul Brown Stadium,Cincinnati,OH,,
37,2023,3,ATL,DET,0,0,0,0,0,0,0,1,0,0,0,0,mahrowkeen,jmjacobs,,Mercedes-Benz Stadium,Atlanta,GA,,
38,2023,3,DAL,LAR,0,0,0,0,0,0,0,1,0,0,0,0,Rocketcan,Vivid,,AT&T Stadium,Arlington,TX,,
39,2023,3,CLE,CHI,0,0,0,0,0,0,0,1,0,0,0,0,RobSun08,nemolee.exe,,FirstEnergy Stadium,Cleveland,OH,,
40,2023,3,MIA,HOU,0,0,0,0,0,0,0,1,0,0,0,0,TheLiberator,AI,,Hard Rock Stadium,Miami Gardens,FL,,
41,2023,3,IND,BUF,0,0,0,0,0,0,0,1,0,0,0,0,npklemm,Minnow,,Lucas Oil Stadium,Indianapolis,IN,,
42,2023,3,DEN,NO,0,0,0,0,0,0,0,1,0,0,0,0,AlexFall82,Bingo415,,Empower Field at Mile High,Denver,CO,,
43,2023,3,SF,PHI,0,0,0,0,0,0,0,1,0,0,0,0,Dr_Novella,acewulf,,Levi's Stadium,Santa Clara,CA,,
44,2023,3,CAR,MIN,0,0,0,0,0,0,0,1,0,0,0,0,Sarge,bundy,,Bank of America Stadium,Charlotte,NC,,
45,2023,3,LAC,WAS,0,0,0,0,0,0,0,1,0,0,0,0,Pumph,Ewade,,SoFi Stadium,Inglewood,CA,,
46,2023,3,TB,NYJ,0,0,0,0,0,0,0,1,0,0,0,0,AI,Coach123,,Raymond James Stadium,Tampa,FL,,
47,2023,3,ARI,NYG,0,0,0,0,0,0,0,1,0,0,0,0,AI,AI,,State Farm Stadium,Glendale,AZ,,
48,2023,3,NE,JAX,0,0,0,0,0,0,0,1,0,0,0,0,believer,Weeze,,Gillette Stadium,Foxborough,MA,,
