id,overall,football_iq,speed,carrying,agility,catching,route_running,zone_coverage,man_coverage,strength,tackle,pass_block,run_block,pass_rush,run_defense,throw_power,throw_accuracy,kick_accuracy,kick_power,punt_accuracy,punt_power,injury_text,weeks_out
15965,68,55,83,54,67,81,59,18,20,50,6,10,18,13,11,16,17,11,13,15,11,None,0
15044,56,40,94,43,53,56,44,18,19,39,15,9,16,12,11,25,23,14,13,11,13,None,0
15182,54,44,71,42,53,63,47,25,21,66,23,58,54,29,29,17,23,14,11,7,12,None,0
10849,54,44,25,21,33,13,12,18,15,69,16,58,49,16,8,20,21,7,11,11,7,None,0
16584,54,38,23,21,33,22,4,18,13,69,14,63,53,13,21,14,20,13,5,5,14,None,0
15383,56,47,71,17,59,26,8,71,53,31,38,12,8,17,13,25,17,13,11,9,9,None,0
16088,55,45,68,16,53,29,8,68,64,59,61,10,10,34,57,12,19,4,7,12,4,None,0
10227,64,57,97,55,58,49,15,24,25,49,22,47,11,15,15,20,26,17,15,17,16,None,0
15050,63,52,78,24,69,32,10,74,64,39,34,11,14,14,16,20,22,12,15,14,15,None,0
15110,58,49,87,46,60,45,16,26,22,45,24,48,11,14,6,18,24,11,9,11,16,None,0
15224,60,51,26,20,50,24,7,25,23,72,20,71,51,26,17,25,23,11,14,10,11,None,0
15161,56,61,71,22,53,26,14,68,59,28,40,12,13,11,52,24,23,11,9,11,9,None,0
15180,57,51,78,19,58,26,11,65,59,60,59,13,10,33,65,17,21,13,14,16,13,None,0
15355,57,47,41,20,53,29,11,20,20,54,59,14,11,54,48,23,20,11,10,18,17,None,0
16281,57,43,26,21,36,22,7,16,21,72,21,67,51,21,13,15,12,12,4,7,7,None,0
16301,57,50,80,40,57,57,59,17,20,32,2,14,18,11,14,19,13,6,13,10,9,None,0
15305,55,48,76,20,64,22,15,61,50,53,55,15,13,18,52,17,22,9,8,17,10,None,0
10111,62,56,60,23,43,24,8,22,25,41,20,9,13,15,11,74,77,8,14,10,7,None,0
15022,57,44,65,45,61,59,46,23,27,72,27,55,63,23,27,23,19,8,13,8,17,None,0
15368,59,45,27,26,45,25,14,28,28,75,23,54,68,27,6,16,25,11,7,12,17,None,0
15102,56,45,65,26,62,22,7,26,22,57,57,17,8,66,53,17,20,12,8,15,17,None,0
14972,63,57,75,33,73,21,14,82,61,34,53,14,10,11,49,21,28,15,14,15,8,None,0
15074,76,61,27,29,60,22,18,28,27,94,17,89,72,20,16,27,23,11,14,18,19,Sprained Knee,1
18241,64,49,90,57,66,52,5,10,9,55,15,54,10,13,11,17,13,6,17,6,9,None,0
16759,56,43,83,47,59,43,8,16,17,46,22,44,12,10,11,13,17,4,6,11,8,None,0
18081,56,38,19,16,28,16,9,15,13,72,14,66,51,13,14,11,7,6,6,4,8,None,0
15075,58,45,78,45,64,59,62,28,20,37,9,14,20,10,13,24,20,12,10,17,15,None,0
15253,69,58,85,58,72,80,57,25,25,58,17,15,21,16,13,18,26,10,13,8,10,None,0
15107,60,49,74,24,66,29,24,52,80,38,35,7,15,14,19,18,17,11,9,12,16,None,0
15985,58,47,32,15,51,22,9,14,19,64,68,8,11,52,58,16,18,9,6,6,8,None,0
15279,59,47,29,18,42,22,10,22,27,78,23,73,46,19,10,22,22,7,9,10,17,None,0
15171,58,42,30,26,43,25,8,21,16,76,21,73,47,23,8,23,23,16,15,13,15,None,0
15149,58,43,75,26,64,24,16,23,18,58,58,13,17,69,50,20,17,11,10,18,15,None,0
15051,58,48,84,41,71,60,31,19,22,41,24,38,16,12,6,20,22,10,9,9,10,None,0
10539,58,46,70,46,52,71,53,25,17,38,5,14,22,13,7,12,14,7,7,11,4,None,0
15142,57,45,71,19,64,26,24,59,74,27,33,7,16,12,12,26,16,14,7,12,11,None,0
10035,57,51,69,20,57,24,13,62,62,57,63,17,9,41,59,18,18,10,9,12,14,None,0
16789,56,39,24,22,35,15,12,22,14,68,58,5,10,44,53,15,19,8,4,13,9,None,0
15087,64,54,80,51,64,64,65,21,20,46,16,9,18,16,7,21,22,15,12,12,11,None,0
15068,59,47,80,18,61,29,14,56,58,48,61,16,9,9,69,19,27,17,10,8,11,None,0
11590,66,53,94,51,75,71,32,23,18,44,23,54,6,11,7,18,19,9,8,11,16,None,0
15077,58,45,45,27,52,24,13,24,23,57,63,11,11,61,46,27,25,10,12,8,13,None,0
15127,57,45,69,18,64,52,12,56,64,32,38,11,13,14,14,22,17,14,9,13,14,None,0
15210,52,41,60,22,52,25,10,18,18,52,52,8,11,56,52,20,19,13,7,9,6,None,0
16159,55,43,26,15,38,20,6,20,17,68,24,66,47,18,16,20,14,9,5,13,9,None,0
16119,58,45,81,55,56,47,11,20,17,49,24,49,7,6,11,18,14,7,10,12,10,None,0
15258,59,48,92,49,50,38,10,20,21,55,26,44,9,9,9,17,18,14,13,14,15,None,0
15258,59,48,92,49,50,38,10,20,21,55,26,44,9,9,9,17,18,14,13,14,15,None,0
15021,57,42,29,21,46,25,14,24,23,75,24,65,54,21,15,25,16,9,16,10,11,None,0
15800,53,43,25,15,33,19,4,21,21,73,12,61,46,18,9,21,19,7,7,11,10,None,0
15093,55,44,34,26,45,32,14,23,23,66,54,7,10,46,56,25,23,10,15,14,15,None,0
17226,55,42,34,12,56,17,11,9,19,59,61,3,12,60,55,11,18,10,5,12,6,None,0
16496,54,42,80,22,49,28,16,52,70,31,42,6,7,11,48,16,17,1,14,4,6,None,0
15543,50,37,68,41,49,58,43,22,22,44,10,13,16,9,7,21,19,11,10,12,7,None,0
16502,51,41,83,38,48,50,42,21,18,37,8,5,18,2,11,20,21,3,11,3,2,None,0
15122,59,51,57,18,35,26,8,27,22,42,19,16,11,15,9,73,74,16,11,11,14,None,0
11767,57,42,83,48,66,56,35,16,17,40,20,42,5,8,7,21,14,5,13,3,6,Ankle Bruise,0
16972,60,43,94,45,60,59,57,17,13,36,6,10,15,12,6,12,13,15,4,8,8,None,0
14979,58,47,77,49,63,56,51,21,18,69,26,63,56,29,22,18,19,12,10,8,15,None,0
14966,64,52,30,24,52,26,16,24,29,79,25,59,67,25,11,21,24,7,9,9,15,None,0
15097,60,44,29,24,46,22,10,25,21,78,23,71,55,23,15,22,21,7,9,9,11,None,0
15237,54,38,43,23,55,25,7,19,26,55,54,16,8,55,41,24,16,13,10,8,12,None,0
15126,58,47,84,24,62,24,15,59,64,59,69,8,15,42,57,18,17,11,15,18,15,None,0
15350,60,49,79,26,60,24,22,59,76,28,39,10,16,16,12,23,22,11,8,15,15,None,0
11241,54,50,70,16,57,30,5,77,48,24,43,4,6,12,39,13,16,3,11,12,4,None,0
15284,72,62,90,61,69,77,66,22,29,75,11,16,41,18,10,17,21,20,17,10,19,None,0
14959,70,50,42,31,55,26,10,28,29,78,67,15,9,65,64,24,32,7,14,13,9,None,0
10455,67,54,93,60,66,57,10,23,22,55,21,55,17,15,12,25,24,14,16,19,16,None,0
10306,59,49,82,47,62,59,58,20,18,34,16,10,24,13,14,25,17,10,7,17,10,None,0
16114,51,50,71,12,47,21,6,64,47,26,33,11,7,8,43,20,11,12,13,10,9,None,0
15079,54,42,64,20,56,27,13,19,20,61,53,14,13,64,47,20,19,12,8,8,11,None,0
15221,55,47,75,27,66,21,12,65,59,59,52,9,15,36,62,22,22,15,11,16,13,None,0
15218,54,42,78,24,59,26,14,58,60,58,58,13,8,33,60,27,22,8,11,7,11,None,0
10611,57,43,26,19,33,15,12,15,22,76,18,51,70,13,19,18,18,10,4,13,10,None,0
11151,58,59,72,18,54,34,9,73,56,37,44,7,9,12,53,21,11,5,2,6,7,None,0
15238,64,48,33,23,42,26,17,22,27,76,67,19,10,55,61,23,21,15,16,18,16,None,0
16469,54,50,64,13,53,18,12,48,44,70,58,6,13,39,69,15,14,6,14,12,9,None,0
14971,62,48,82,27,69,30,16,59,62,50,61,13,10,8,68,22,24,8,14,9,9,None,0
15567,48,40,17,8,25,8,5,12,17,63,9,49,56,8,10,12,14,1,6,6,1,None,0
16777,54,40,67,22,58,22,5,44,46,47,63,8,10,70,52,19,14,11,11,11,10,None,0
15731,49,38,22,17,24,12,4,21,16,62,15,42,64,15,11,19,15,5,11,5,11,None,0
15783,51,41,69,19,55,27,8,64,48,20,29,12,4,9,14,21,15,10,3,5,8,None,0
15342,54,46,53,19,38,16,15,18,17,32,18,7,16,9,9,64,66,16,13,8,13,None,0
11332,57,49,72,45,58,69,47,15,21,45,8,4,16,6,10,21,22,12,6,5,12,None,0
14995,59,45,76,49,60,63,63,16,20,40,10,7,17,15,14,16,22,16,18,14,18,None,0
15078,57,42,78,36,61,57,56,25,24,32,7,5,16,14,7,24,19,17,11,6,12,None,0
15178,59,46,79,41,62,60,61,24,24,42,12,12,17,9,14,25,27,13,13,10,7,None,0
15129,57,42,29,21,42,23,8,19,22,71,23,64,54,18,13,24,16,17,11,12,7,None,0
15312,57,45,28,22,45,26,13,27,20,77,17,71,51,22,14,19,23,16,14,9,12,None,0
15272,53,42,69,25,55,26,11,66,62,55,56,12,11,37,55,15,25,9,11,13,14,None,0
15835,52,41,68,21,49,30,10,63,61,54,59,3,9,35,55,15,15,4,9,8,5,None,0
15638,58,46,71,21,61,57,11,61,63,30,36,4,2,5,11,18,18,12,12,4,9,None,0
15388,56,43,70,17,59,52,9,62,60,28,35,10,11,6,17,16,16,12,9,10,8,None,0
10122,70,58,94,64,67,62,15,25,23,63,22,60,11,10,10,23,26,19,12,16,12,None,0
10329,55,48,52,23,35,28,9,21,23,33,21,5,15,10,13,69,70,11,7,13,16,None,0
11228,56,40,71,17,53,19,6,52,52,68,62,8,15,38,70,14,18,10,10,7,12,None,0
12488,51,35,20,17,28,10,11,18,15,72,19,63,39,14,6,9,12,8,8,12,10,None,0
14954,62,59,79,31,63,29,26,65,74,34,32,13,14,14,14,22,25,10,10,12,13,None,0
14973,60,46,27,26,51,26,8,26,27,73,21,62,61,31,26,26,25,15,13,12,16,None,0
15109,56,42,60,27,49,19,8,19,22,61,61,16,12,51,67,22,24,8,15,16,12,None,0
15191,57,41,71,48,52,36,9,26,28,72,24,62,61,9,17,16,27,8,13,13,9,None,0
15302,63,51,29,18,49,23,17,24,22,78,20,54,77,19,7,27,21,17,10,16,10,None,0
16560,59,51,87,55,59,49,11,13,14,46,18,45,11,15,5,22,13,6,9,6,10,Strained Shoulder,0
14990,62,58,80,18,62,26,14,81,60,32,52,16,17,16,58,21,17,16,18,14,17,None,0
15315,49,42,50,21,27,18,6,22,22,28,14,11,8,7,12,69,58,7,5,13,7,None,0
15014,57,46,68,24,59,24,13,61,66,60,68,14,10,43,56,23,23,12,18,12,17,None,0
15900,54,40,70,14,57,59,9,55,62,28,28,10,6,5,11,17,21,10,7,4,11,None,0
15165,56,42,38,19,45,23,14,25,20,58,56,10,17,51,52,20,24,16,9,7,8,None,0
15602,56,41,83,46,60,51,9,23,20,43,18,45,7,12,9,21,14,2,14,9,4,None,0
15136,54,43,66,17,55,27,24,54,72,31,35,5,9,14,13,16,15,15,14,6,6,None,0
15125,55,43,79,25,61,27,26,52,66,30,47,12,14,18,44,23,22,17,14,12,12,None,0
10009,69,64,96,44,66,24,16,29,26,57,20,11,9,16,12,65,72,14,13,10,19,None,0
15123,61,50,83,44,66,62,59,23,19,42,12,10,23,17,13,23,22,15,13,17,11,None,0
15187,57,47,64,19,52,28,7,50,55,70,65,18,8,40,73,23,23,14,18,16,17,None,0
15070,57,44,71,20,60,57,11,64,57,28,34,15,10,9,16,24,23,13,17,13,15,None,0
15239,62,43,28,17,41,21,12,18,18,79,62,10,17,42,62,25,20,11,12,14,16,None,0
15572,56,44,82,53,46,38,5,18,21,53,19,53,12,5,6,19,13,5,4,6,14,None,0
14953,59,51,69,24,69,23,7,47,44,56,67,15,15,75,53,23,24,14,17,10,18,None,0
15153,56,47,62,25,53,21,9,28,28,60,60,14,16,56,61,26,25,11,13,13,17,None,0
15414,58,43,77,47,56,72,46,17,20,45,12,18,21,8,6,22,16,10,15,9,14,None,0
15935,55,44,26,15,35,19,9,21,22,73,22,42,67,15,11,13,17,5,8,2,11,None,0
15169,54,45,25,25,43,32,9,23,20,69,26,59,52,22,21,21,25,12,12,8,12,None,0
15301,58,52,53,22,35,22,5,22,25,41,20,8,18,11,17,77,67,12,10,8,11,None,0
15401,62,60,76,21,62,35,10,81,61,39,52,16,12,11,58,25,22,16,15,14,18,None,0
15736,55,41,81,51,53,44,10,16,15,46,21,45,7,7,9,20,20,9,11,7,11,None,0
16646,51,41,66,22,53,54,7,56,52,25,27,11,9,6,13,17,19,6,12,12,6,None,0
18986,55,43,73,15,61,31,2,45,71,42,33,14,7,9,12,4,5,11,10,8,15,None,0
