GameID,Season,Week,Home Team,Away Team,Conference Game,Division Game,Neutral Site,Conference Champ,Bowl Game,Playoff,National Champ,home bye,prev bye,Listed Coach,Other Coach,TimeSlot,Stadium,City,State,Domed Stadium,GameTitle,Info,NextGame,NextGameHOA
5376,2025,18,UHOU,BGSU,0,0,1,0,1,0,0,1,1,mahrowkeen,PoopyRhinoPickle,Saturday Night,Albertsons Stadium,Boise,ID,0,Famous Idaho Potato Bowl,,0,
5377,2025,18,LSU,,0,0,1,0,1,1,0,1,0,Jumbo,#N/A,Saturday Night,Caesars Superdome,New Orleans,LA,1,Sugar Bowl,,5393,H
5378,2025,19,NAVY,PURD,0,0,1,0,1,0,0,1,1,Syndakyt,MasonAsher,Thursday Night,Camping World Stadium,Orlando,FL,0,Cheez-It Bowl,,0,
5379,2025,19,UNC,MICH,0,0,1,0,1,0,0,1,1,Tryggr,subsequent,Thursday Night,Nissan Stadium,Nashville,TN,0,Music City Bowl,,0,
5380,2025,19,NMSU,CONN,0,0,1,0,1,0,0,1,1,Rabbit,AI,Friday Night,Thomas Robinson Stadium,Nassau,BS,0,Bahamas Bowl,,0,
5381,2025,19,NEB,UNLV,0,0,1,0,1,0,0,1,1,alexfall862,AI,Friday Night,Bank of America Stadium,Charlotte,NC,0,Duke's Mayo Bowl,,0,
5382,2025,19,ULM,ECU,0,0,1,0,1,0,0,1,1,AI,ObliviousLAX,Saturday Morning,Arizona Stadium,Tucson,AZ,0,Snoop Dogg Arizona Bowl,,0,
5383,2025,19,ILLI,GT,0,0,1,0,1,0,0,1,1,nemolee.exe,ATonOfLaw,Saturday Morning,Raymond James Stadium,Tampa,FL,0,ReliaQuest Bowl,,0,
5384,2025,19,UTST,MEMP,0,0,1,0,1,0,0,1,1,Ewade,AI,Saturday Morning,Chase Field,Phoenix,AZ,1,Rate Bowl,,0,
5385,2025,19,BALL,UCLA,0,0,1,0,1,0,0,1,1,npklemm,jmjacobs,Saturday Morning,Ford Field,Detroit,MI,1,Meijer's/Hostess Twinkie Ice Cream Bowl,,0,
5386,2025,19,NCST,ZONA,0,0,1,0,1,0,0,1,1,Matty460,pizzly,Saturday Afternoon,Alamodome,San Antonio,TX,1,Alamo Bowl,,0,
5387,2025,19,JST,TROY,0,0,1,0,1,0,0,1,1,AI,AI,Saturday Afternoon,Exploria Stadium,Orlando,FL,0,The Cure Bowl,,0,
5388,2025,19,IND,LOU,0,0,1,0,1,0,0,1,1,Piercewise1,Sandmanlost,Saturday Afternoon,Camping World Stadium,Orlando,FL,0,Cheez-It Bowl,,0,
5389,2025,19,WAST,UKEN,0,0,1,0,1,0,0,1,1,TuscanSota,Ezaco,Saturday Evening,Milan Puskar Stadium,Morgantown,WV,0,"Big Timber Brewing Almost Heaven, West Virginia Bowl",,0,
5390,2025,19,UVA,WISC,0,0,1,0,1,0,0,1,1,Wahoo,JC,Saturday Evening,Pitbull Stadium,Miami,FL,0,The PitBowl,,0,
5391,2025,19,,,0,0,1,0,1,1,0,0,0,#N/A,#N/A,Saturday Evening,State Farm Stadium,Glendale,AZ,1,Fiesta Bowl,,5395,H
5392,2025,19,CLEM,BYU,0,0,1,0,1,0,0,1,1,Spoof,AI,Saturday Night,Wembley Stadium,London,GB,0,Weetabix Bowl,,0,
5393,2025,19,,,0,0,1,0,1,1,0,0,0,#N/A,#N/A,Saturday Night,Mercedes-Benz Stadium,Atlanta,GA,1,Peach Bowl,,5395,A
5394,2025,20,WAKE,NW,0,0,1,0,1,0,0,1,1,Qupax,T007disney,Saturday Morning,The Kibbie Dome,Moscow,ID,1,The Toilet Bowl,,0,
5395,2025,20,,,0,0,1,0,1,1,1,0,0,#N/A,#N/A,Saturday Morning,NRG Stadium,Houston,TX,1,2025 College Football Playoff National Championship Game,,0,
5396,2025,17,MONT,SAM,0,0,0,0,0,1,0,1,1,AI,AI,Saturday Morning,Washington-Grizzly Stadium,Missoula,MT,0,FCS Playoffs First Round,,5404,H
5397,2025,17,NDSU,MTST,0,0,0,0,0,1,0,1,1,AI,AI,Saturday Morning,Fargodome,Fargo,ND,1,FCS Playoffs First Round,,5405,H
5398,2025,17,SIU,PV,0,0,0,0,0,1,0,1,1,AI,AI,Saturday Morning,Saluki Stadium,Carbondale,IL,0,FCS Playoffs First Round,,5406,H
5399,2025,17,ALCN,COLG,0,0,0,0,0,1,0,1,1,AI,AI,Saturday Morning,Spinks-Casem Stadium,Lorman,MS,0,FCS Playoffs First Round,,5407,H
5400,2025,17,BCU,WIU,0,0,0,0,0,1,0,1,1,AI,AI,Saturday Morning,Daytona Stadium,Daytona Beach,FL,0,FCS Playoffs First Round,,5407,A
5401,2025,17,SDAK,ILST,0,0,0,0,0,1,0,1,1,AI,AI,Saturday Morning,DakotaDome,Vermillion,SD,1,FCS Playoffs First Round,,5406,A
5402,2025,17,FOR,IDHO,0,0,0,0,0,1,0,1,1,AI,AI,Saturday Morning,Jack Coffey Field,Bronx,NY,0,FCS Playoffs First Round,,5405,A
5403,2025,17,SSU,SOU,0,0,0,0,0,1,0,1,1,AI,AI,Saturday Morning,Hornet Stadium,Sacramento,CA,0,FCS Playoffs First Round,,5404,A
5404,2025,18,FCS #1/16,FCS #8/9,0,0,0,0,0,1,0,0,0,#N/A,#N/A,Saturday Morning,#N/A,#N/A,#N/A,#N/A,FCS Playoffs Quarterfinals,,5408,H
5405,2025,18,FCS #2/15,FCS #7/10,0,0,0,0,0,1,0,0,0,#N/A,#N/A,Saturday Morning,#N/A,#N/A,#N/A,#N/A,FCS Playoffs Quarterfinals,,5409,H
5406,2025,18,FCS #3/14,FCS #6/11,0,0,0,0,0,1,0,0,0,#N/A,#N/A,Saturday Morning,#N/A,#N/A,#N/A,#N/A,FCS Playoffs Quarterfinals,,5409,A
5407,2025,18,FCS #4/13,FCS #5/12,0,0,0,0,0,1,0,0,0,#N/A,#N/A,Saturday Morning,#N/A,#N/A,#N/A,#N/A,FCS Playoffs Quarterfinals,,5408,A
5408,2025,19,FCS #1/8/9/16,FCS #4/5/12/13,0,0,0,0,0,1,0,0,0,#N/A,#N/A,Saturday Morning,#N/A,#N/A,#N/A,#N/A,FCS Playoffs Semifinals,,5410,H
5409,2025,19,FCS #3/6/11/14,FCS #2/7/10/15,0,0,0,0,0,1,0,0,0,#N/A,#N/A,Saturday Morning,#N/A,#N/A,#N/A,#N/A,FCS Playoffs Semifinals,,5410,A
5410,2025,20,FCS #1/2/7/8/9/10/15/16,FCS #3/4/5/6/11/12/13/14,0,0,0,0,0,1,1,0,0,#N/A,#N/A,Saturday Morning,#N/A,#N/A,#N/A,#N/A,FCS National Championship Game,,0,
